,category,min,max,ref_func,ref_args
0,Length of Field Goal Made,0,49,const,3
1,Length of Field Goal Made,50,99,const,4
2,Length of Missed Field Goal,0,29,const,-1
3,Length of Missed Field Goal,30,99,const,0
4,Extra Points,0,10,per,1|1
5,Extra Points Missed,0,10,per,-1|1
6,Punts Inside 20,0,20,per,1|1
7,Length of Punt Return TD,0,9,const,2
8,Length of Punt Return TD,10,39,const,4
9,Length of Punt Return TD,40,59,const,6
10,Length of Punt Return TD,60,110,const,8
11,Punt Return Yards,-50,999,per,.03|1
12,Length of Kickoff Return TD,0,9,const,2
13,Length of Kickoff Return TD,10,39,const,4
14,Length of Kickoff Return TD,40,59,const,6
15,Length of Kickoff Return TD,60,110,const,8
16,Kickoff Return Yards,-50,999,per,.03|1
17,Fumbles on Special Teams,0,10,per,-1|1
18,Fumbles Lost on Special Teams,0,10,per,-3|1
19,Fumble Recoveries on Special Teams,0,10,per,4|1
20,Length of Blocked Field Goal TD,0,9,const,2
21,Length of Blocked Field Goal TD,10,39,const,4
22,Length of Blocked Field Goal TD,40,59,const,6
23,Length of Blocked Field Goal TD,60,110,const,8
24,Blocked Field Goals,0,10,per,5|1
25,Length of Missed Field Goal Return TD,0,9,const,2
26,Length of Missed Field Goal Return TD,10,39,const,4
27,Length of Missed Field Goal Return TD,40,59,const,6
28,Length of Missed Field Goal Return TD,60,110,const,8
29,Length of Blocked Punt TD,0,9,const,2
30,Length of Blocked Punt TD,10,39,const,4
31,Length of Blocked Punt TD,40,59,const,6
32,Length of Blocked Punt TD,60,110,const,8
33,Blocked Punts,0,10,per,3|1
34,Blocked Extra Points,0,10,per,2|1
35,Penalty Yards,1,999,per,-0.1|1
